ScanSourceItemNumber,ManufacturerItemNumber,Manufacturer,ItemStatus,PlantMaterialStatusValidfrom,ItemImage,ReboxItem,BStockItem,CatalogName,BusinessUnit,CategoryPath,ProductFamilyImage,ProductFamilyDescription,ProductFamilyHeadline,Description,ProductFamily
PIP-WVX4573L8,WV-X4573L/8,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,WV-X4573L - 8 PACK,Panasonic Network Fixed Dome Cameras
PIP-WVX4573L,WV-X4573L,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"12MP SENSOR OUTDOOR VANDAL RESISTANT 360 DOME CAMERA, H.265/H.264/MJPEG, 1.4MM FISHEYE LENS, 2992X2992PIXEL UP TO 30FPS, IR LED, IP66, IK10, AUDIO IN/OUT, BUILT-IN MIC, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8 OR HIGHER",Panasonic Network Fixed Dome Cameras
PAN1WV-X4571LM,WV-X4571LM B1,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network 360 Degree Cameras,,,,B Stock: 9MP 360 OUTDOOR VANDAL H.265 W/IR M12,Panasonic Network 360 Degree Cameras
PANXWV-X4571L,WV-X4571L RB,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network 360 Degree Cameras,,,,Rebox: 9MP 360 OUTDOOR VANDAL H.265 W/IR,Panasonic Network 360 Degree Cameras
PIP-WVX4173,WV-X4173,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Control Systems//Panasonic Controllers,,,,"FISHEYE LENS, 2992X2992PIXEL UP TO 30FPS, AUDIO IN/OUT, BUILT-IN MIC, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8 OR HIGHER",Panasonic Controllers
PIP-WVX417212,WV-X4172/12,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,WV-X4172 12 PACK,Panasonic Network Fixed Dome Cameras
PIP-WVX4172,WV-X4172,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Control Systems//Panasonic Controllers,,,,"12MP SENSOR INDOOR 360 DOME CAMERA, H.265/H.264/MJPEG, 1.4MM FISHEYE LENS, 2992X2992PIXEL UP TO 30FPS, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8 OR HIGHER",Panasonic Controllers
PANXWVX4170,WV-X4170 RB,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network 360 Degree Cameras,,,,Rebox: 9MP 360 INDOOR DOME H.265,Panasonic Network 360 Degree Cameras
PIP-WVX2571LN,WV-X2571LN,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Control Systems//Panasonic Controllers,,,,"4K H.265 INDOOR VANDAL DOME CAMERA WITH AI ENGINE W/IR, CLEARSIGHT DOME",Panasonic Controllers
PIP-WVX2551LN,WV-X2551LN,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Control Systems//Panasonic Controllers,,,,"5MP H.265 INDOOR VANDAL DOME CAMERA WITH AI ENGINE W/IR, CLEARSIGHT DOME",Panasonic Controllers
PIP-WVX2271L,WV-X2271L,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Control Systems//Panasonic Controllers,,,,4K H.265 INDOOR VANDAL DOME CAMERA WITH AI ENGINE W/IR,Panasonic Controllers
PIP-WVX2251L,WV-X2251L,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Control Systems//Panasonic Controllers,,,,5MP H.265 INDOOR VANDAL DOME CAMERA WITH AI ENGINE W/IR,Panasonic Controllers
PIP-WVX1571LN,WV-X1571LN,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Control Systems//Panasonic Controllers,,,,"4K H.265 OUTDOOR FIXED BOX CAMERA WITH AI ENGINE W/IR, CLEARSIGHT DOME",Panasonic Controllers
PIP-WVX1551LN,WV-X1551LN,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Control Systems//Panasonic Controllers,,,,"5MP H.265 OUTDOOR FIXED BOX CAMERA WITH AI ENGINE W/IR, CLEARSIGHT DOME",Panasonic Controllers
PIP-WVU2542LA,WV-U2542LA,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"4MP OUTDOOR VANDAL RESISTANT DOME CAMERA, H.265/H.264/MJPEG, 2.9-7.3MM 2.5X MOTORIZED ZOOM LENS, IR LED, IP66, IK10, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIP-WVU2540LA,WV-U2540LA,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"4MP OUTDOOR VANDAL RESISTANT DOME CAMERA, H.265/H.264/MJPEG, 3.2MM FIXED LENS, IR LED, IP66, IK10, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIPXWVU2540L,WV-U2540L RB,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"Rebox: 4MP Outdoor Dome Network Camera, H.265, with IR-LED",Panasonic Network Fixed Dome Cameras
PIP-WVU2532LA,WV-U2532LA,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"1080P OUTDOOR VANDAL RESISTANT DOME CAMERA, H.265/H.264/MJPEG, 2.9-7.3MM 2.5X MOTORIZED ZOOM LENS, IR LED, IP66, IK10, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIP-WVU2530LA,WV-U2530LA,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"1080P OUTDOOR VANDAL RESISTANT DOME CAMERA, H.265/H.264/MJPEG, 3.2MM FIXED LENS, IR LED, IP66, IK10, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIPXWVU2142LA,WV-U2142LA RB,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"Rebox: 4MP INDOOR DOME CAMERA, H.265/H.264/MJPEG, 2.9-7.3MM 2.5X MOTORIZED ZOOM LENS, IR LED, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIP-WVU2142LA,WV-U2142LA,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"4MP INDOOR DOME CAMERA, H.265/H.264/MJPEG, 2.9-7.3MM 2.5X MOTORIZED ZOOM  LENS, IR LED, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIP-WVU2140LA,WV-U2140LA,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"4MP INDOOR DOME CAMERA, H.265/H.264/MJPEG, 3.2MM FIXED LENS, IR LED, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIPXWVU2140L,WV-U2140L RB,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"Rebox: 4MP Indoor Dome Network Camera, H.265, with IR-LED",Panasonic Network Fixed Dome Cameras
PIP-WVU2132LA,WV-U2132LA,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"1080P INDOOR DOME CAMERA, H.265/H.264/MJPEG, 2.9-7.3MM 2.5X MOTORIZED ZOOM LENS, IR LED, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIP-WVU2132L,WV-U2132L,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"1080p H.265 Indoor Dome Network Camera, Varifocal lens with IR-LED",Panasonic Network Fixed Dome Cameras
PIP-WVU2130LA,WV-U2130LA,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"1080P INDOOR DOME CAMERA, H.265/H.264/MJPEG, 3.2MM FIXED LENS, IR LED, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIP-WVU1542LA,WV-U1542LA,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"4MP OUTDOOR VANDAL RESISTANT BULLET CAMERA, H.265/H.264/MJPEG, 2.9-7.3MM 2.5X MOTORIZED ZOOM LENS, IR LED, IP66, IK10, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIP-WVU1542L,WV-U1542L,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"4MP Outdoor Vandal Box/Bullet Network Camera, H.265, V/F lens with IR-LED",Panasonic Network Fixed Dome Cameras
PIP-WVU1532LA,WV-U1532LA,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"1080P OUTDOOR VANDAL RESISTANT BULLET CAMERA, H.265/H.264/MJPEG, 2.9-7.3MM 2.5X MOTORIZED ZOOM LENS, IR LED, IP66, IK10, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIPXWVU1532L,WV-U1532L RB,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"Rebox: Full HD Outdoor Bullet Network Camera, H.265, V/F lens with IR-LED, 1080p, 30fps, 2.5x built-in motorized zoom and motorized focus lens",Panasonic Network Fixed Dome Cameras
PIP-WVU1142A,WV-U1142A,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"4MP INDOOR BOX CAMERA, H.265/H.264/MJPEG, 2.9-7.3MM 2.5X MOTORIZED ZOOM LENS, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIPXWVU1142,WV-U1142 RB,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"Rebox: 4MP Indoor Box Network Camera, H.265, V/F lens, up to 30fps",Panasonic Network Fixed Dome Cameras
PIP-WVU1142,WV-U1142,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"4MP Indoor Box Network Camera, H.265, V/F lens, up to 30fps",Panasonic Network Fixed Dome Cameras
PIP-WVU1132A,WV-U1132A,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"1080P INDOOR BOX CAMERA, H.265/H.264/MJPEG, 2.9-7.3MM 2.5X MOTORIZED ZOOM LENS, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIP-WVU1132,WV-U1132,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"FullHD Indoor Box Network Camera, H.265, V/F lens",Panasonic Network Fixed Dome Cameras
PIP-WVU1130A,WV-U1130A,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"1080P INDOOR BOX CAMERA, H.265/H.264/MJPEG, 3.2MM FIXED LENS, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8.5 OR HIGHER",Panasonic Network Fixed Dome Cameras
PIP-WVU1130,WV-U1130,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,"FullHD Indoor Box Network Camera, H.265",Panasonic Network Fixed Dome Cameras
